model,prompt_language,task,prompt_condition,metric,abs_deviation_change,coverage_change,abs_ci_lower,abs_ci_upper,coverage_ci_lower,coverage_ci_upper
gpt-5.4-2026-03-05,en,horizon,detailed,directed_exploration,0.09059426669036758,0.09999999999999998,-0.1711225037484706,0.3321789778646806,0.0,0.25
gpt-5.4-2026-03-05,en,horizon,detailed,horizon_effect,-0.05735844961401426,0.04999999999999993,-0.2581130232630635,0.1433961240350352,-0.10000000000000009,0.20000000000000007
gpt-5.4-2026-03-05,en,horizon,role_human,directed_exploration,0.06039617779357792,0.04999999999999993,-0.15099044448394544,0.27178280007110067,-0.09999999999999998,0.25
gpt-5.4-2026-03-05,en,horizon,role_human,horizon_effect,0.05735844961401404,0.04999999999999993,-0.20075457364904947,0.3154714728770778,-0.2,0.3
gpt-5.4-2026-03-05,en,horizon,uncertainty_emphasis,directed_exploration,0.030198088896789654,0.0,-0.09059426669036819,0.15099044448394616,-0.15000000000000002,0.15000000000000002
gpt-5.4-2026-03-05,en,horizon,uncertainty_emphasis,horizon_effect,-0.14339612403503543,0.15000000000000002,-0.3441506976840849,0.029396205427178496,0.0,0.35
gpt-5.4-2026-03-05,en,igt,detailed,advantageous_choice_rate,0.2579912236195585,0.0,0.06607092312208263,0.4499115241170344,0.0,0.0
gpt-5.4-2026-03-05,en,igt,detailed,post_loss_switching_rate,0.1524042054686544,0.0,-0.19054519389889396,0.52561948881296,0.0,0.0
gpt-5.4-2026-03-05,en,igt,role_human,advantageous_choice_rate,0.21709017597255542,0.0,0.05655356395806658,0.3806943665605682,0.0,0.0
gpt-5.4-2026-03-05,en,igt,role_human,post_loss_switching_rate,-0.04152956828553783,0.0,-0.3860842970988163,0.37973961165642955,0.0,0.0
gpt-5.4-2026-03-05,en,igt,reward_loss_emphasis,advantageous_choice_rate,0.4593502274201908,0.0,0.28001486466025316,0.6198081835738183,0.0,0.0
gpt-5.4-2026-03-05,en,igt,reward_loss_emphasis,post_loss_switching_rate,-0.06860796481821047,0.0,-0.3919606090537308,0.29886512802420107,0.0,0.0
gpt-5.4-2026-03-05,en,bart,detailed,adjusted_average_pumps,0.015132112504490314,-0.1,-0.09649583189847173,0.11568901235377521,-0.3,0.09999999999999999
gpt-5.4-2026-03-05,en,bart,detailed,explosion_rate,-0.01100841422412846,0.04999999999999993,-0.08806731379302968,0.06605048534477231,-0.15000000000000002,0.25
gpt-5.4-2026-03-05,en,bart,detailed,post_explosion_adjustment,-0.26682892080434595,0.10000000000000009,-0.5440848940964341,0.02331514841979688,-0.15000000000000002,0.35
gpt-5.4-2026-03-05,en,bart,role_human,adjusted_average_pumps,0.29651112365412713,-0.15000000000000002,0.1778184070406107,0.39007986112944837,-0.35,0.05
gpt-5.4-2026-03-05,en,bart,role_human,explosion_rate,0.24218511293083123,-0.5,0.16512621336193045,0.31924401249973244,-0.7000000000000001,-0.3
gpt-5.4-2026-03-05,en,bart,role_human,post_explosion_adjustment,-0.16579661098522447,0.10000000000000009,-0.4093103833697733,0.09073478593371041,-0.09999999999999998,0.30000000000000004
gpt-5.4-2026-03-05,en,bart,risk_emphasis,adjusted_average_pumps,-0.07227574109292068,0.14999999999999997,-0.15203418097886295,0.01568848760282011,-0.05000000000000002,0.35
gpt-5.4-2026-03-05,en,bart,risk_emphasis,explosion_rate,-0.06605048534477209,0.15000000000000002,-0.12109255646541595,0.0,-0.050000000000000044,0.35
gpt-5.4-2026-03-05,en,bart,risk_emphasis,post_explosion_adjustment,-0.1575067804359631,0.15000000000000002,-0.3238603644112168,0.012965813093453873,-0.050000000000000044,0.35
gpt-5.4-mini-2026-03-17,en,horizon,detailed,directed_exploration,-0.2717828000711009,0.04999999999999999,-0.5435656001422,4.440892098500626e-16,-0.10000000000000003,0.20000000000000007
gpt-5.4-mini-2026-03-17,en,horizon,detailed,horizon_effect,-0.37282992249109204,0.0,-0.8037352752163731,0.08603767442102095,-0.25,0.25
gpt-5.4-mini-2026-03-17,en,horizon,role_human,directed_exploration,-0.48316942234862426,0.2,-0.8161033524357223,-0.15099044448394539,0.04999999999999993,0.4
