task,prompt_condition,metric,llm_n,human_n,llm_mean,human_mean,raw_mean_difference_llm_minus_human,human_sd_standardised_distance,llm_sd,human_sd,llm_median,human_median,human_reference_lower,human_reference_upper,llm_mean_reference_position,llm_mean_human_empirical_quantile,llm_runs_within_human_reference_count,llm_runs_within_human_reference_proportion,prompt_language
igt,detailed,post_loss_switching_rate,20,504,0.6691558441558441,0.6946879629435914,-0.025532118787747304,-0.09654243773675818,0.08993081849530203,0.2644652381511809,0.6742424242424242,0.7642857142857142,0.15595486111111112,1.0,within,0.40674603174603174,20,1.0,zh-CN
igt,reward_loss_emphasis,post_loss_switching_rate,20,504,0.38049445266836557,0.6946879629435914,-0.3141935102752258,-1.1880333024925487,0.1256912568364538,0.2644652381511809,0.30303030303030304,0.7642857142857142,0.15595486111111112,1.0,within,0.16666666666666666,20,1.0,zh-CN
igt,role_human,post_loss_switching_rate,20,504,0.4904268174354381,0.6946879629435914,-0.20426114550815327,-0.7723553648717639,0.10449155290228548,0.2644652381511809,0.48,0.7642857142857142,0.15595486111111112,1.0,within,0.23412698412698413,20,1.0,zh-CN
bart,baseline,adjusted_average_pumps,20,141,9.050744405555307,8.320018931754284,0.7307254738010229,0.2226874889554549,1.7480542570699156,3.281394375717232,9.345383759733037,7.931034482758621,3.145534290271132,15.412337662337663,within,0.6382978723404256,20,1.0,en
bart,detailed,adjusted_average_pumps,20,141,8.818166322821497,8.320018931754284,0.4981473910672136,0.15180966809523797,1.636508826579671,3.281394375717232,8.873342175066313,7.931034482758621,3.145534290271132,15.412337662337663,within,0.6170212765957447,20,1.0,en
bart,risk_emphasis,adjusted_average_pumps,20,141,8.951332785987958,8.320018931754284,0.6313138542336745,0.19239194743109317,1.6592952418270028,3.281394375717232,8.860791826309068,7.931034482758621,3.145534290271132,15.412337662337663,within,0.6312056737588653,20,1.0,en
bart,role_human,adjusted_average_pumps,20,141,7.958517549261084,8.320018931754284,-0.3615013824931994,-0.11016700253049715,1.4878651585665257,3.281394375717232,7.685344827586206,7.931034482758621,3.145534290271132,15.412337662337663,within,0.5035460992907801,20,1.0,en
bart,baseline,adjusted_average_pumps,20,141,6.485822048760854,8.320018931754284,-1.8341968829934299,-0.558968741022639,1.353485978657079,3.281394375717232,6.439338235294118,7.931034482758621,3.145534290271132,15.412337662337663,within,0.3617021276595745,20,1.0,es
bart,detailed,adjusted_average_pumps,20,141,7.859183633269772,8.320018931754284,-0.4608352984845112,-0.1404388640069464,1.245392722474223,3.281394375717232,8.172916666666666,7.931034482758621,3.145534290271132,15.412337662337663,within,0.49645390070921985,20,1.0,es
bart,risk_emphasis,adjusted_average_pumps,20,141,6.688620820395608,8.320018931754284,-1.631398111358676,-0.49716612042467234,1.198824036311659,3.281394375717232,6.523529411764706,7.931034482758621,3.145534290271132,15.412337662337663,within,0.3900709219858156,20,1.0,es
bart,role_human,adjusted_average_pumps,20,141,6.456626523776667,8.320018931754284,-1.8633924079776163,-0.5678660333445366,1.387413562966123,3.281394375717232,6.057400379506642,7.931034482758621,3.145534290271132,15.412337662337663,within,0.3617021276595745,20,1.0,es
bart,baseline,adjusted_average_pumps,20,141,8.278933468788862,8.320018931754284,-0.04108546296542137,-0.012520733036376068,1.6993627162759157,3.281394375717232,8.639285714285714,7.931034482758621,3.145534290271132,15.412337662337663,within,0.5602836879432624,20,1.0,zh-CN
bart,detailed,adjusted_average_pumps,20,141,8.536463163067724,8.320018931754284,0.21644423131344048,0.06596105390902034,2.176760099669734,3.281394375717232,8.699666295884317,7.931034482758621,3.145534290271132,15.412337662337663,within,0.5886524822695035,20,1.0,zh-CN
bart,risk_emphasis,adjusted_average_pumps,20,141,8.476486673036312,8.320018931754284,0.15646774128202878,0.04768330879089435,1.826635840567882,3.281394375717232,8.747800586510264,7.931034482758621,3.145534290271132,15.412337662337663,within,0.5815602836879432,20,1.0,zh-CN
bart,role_human,adjusted_average_pumps,20,141,8.283229591521444,8.320018931754284,-0.03678934023283986,-0.011211496096015164,1.7912419527969425,3.281394375717232,8.120689655172413,7.931034482758621,3.145534290271132,15.412337662337663,within,0.5602836879432624,20,1.0,zh-CN
bart,baseline,explosion_rate,20,141,0.27749999999999997,0.2852836879432623,-0.007783687943262341,-0.06854884885663051,0.039653101026938996,0.11354950627313778,0.275,0.275,0.075,0.475,within,0.5035460992907801,20,1.0,en
bart,detailed,explosion_rate,20,141,0.3025,0.2852836879432623,0.01721631205673768,0.1516194356259435,0.02677882116818988,0.11354950627313778,0.3,0.275,0.075,0.475,within,0.5957446808510638,20,1.0,en
bart,risk_emphasis,explosion_rate,20,141,0.29375000000000007,0.2852836879432623,0.008466312056737757,0.07456053605704333,0.031282877442023,0.11354950627313778,0.2875,0.275,0.075,0.475,within,0.5035460992907801,20,1.0,en
bart,role_human,explosion_rate,20,141,0.25375,0.2852836879432623,-0.031533687943262334,-0.2777087191150756,0.03467423584708028,0.11354950627313778,0.25,0.275,0.075,0.475,within,0.41843971631205673,20,1.0,en
bart,baseline,explosion_rate,20,141,0.19749999999999998,0.2852836879432623,-0.08778368794326233,-0.7730873592008666,0.03526217594862205,0.11354950627313778,0.2,0.275,0.075,0.475,within,0.2198581560283688,20,1.0,es
bart,detailed,explosion_rate,20,141,0.24,0.2852836879432623,-0.04528368794326232,-0.39880127558049105,0.02856202852887396,0.11354950627313778,0.25,0.275,0.075,0.475,within,0.3546099290780142,20,1.0,es
bart,risk_emphasis,explosion_rate,20,141,0.19625,0.2852836879432623,-0.0890336879432623,-0.784095773424995,0.034674235847080286,0.11354950627313778,0.2,0.275,0.075,0.475,within,0.2198581560283688,20,1.0,es
bart,role_human,explosion_rate,20,141,0.18624999999999997,0.2852836879432623,-0.09903368794326234,-0.8721630872180249,0.03758761694186559,0.11354950627313778,0.175,0.275,0.075,0.475,within,0.2198581560283688,20,1.0,es
bart,baseline,explosion_rate,20,141,0.27375000000000005,0.2852836879432623,-0.01153368794326226,-0.10157409152901589,0.034863455455760396,0.11354950627313778,0.275,0.275,0.075,0.475,within,0.41843971631205673,20,1.0,zh-CN
bart,detailed,explosion_rate,20,141,0.27625,0.2852836879432623,-0.009033687943262314,-0.07955726308075897,0.024967083593361375,0.11354950627313778,0.275,0.275,0.075,0.475,within,0.5035460992907801,20,1.0,zh-CN
